"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 18 21:45:51 GMT 2024","Fri Oct 18 21:45:51 GMT 2024","0","","","","MewingPad.Tests.UnitTests.DataAccess.Converters.TestAudiotrackConverter","MewingPad.Tests.UnitTests.DataAccess.Converters.TestAudiotrackConverter.TestCoreToDbModel_Ok","MewingPad.Tests.UnitTests.DataAccess.Converters.TestAudiotrackConverter.TestCoreToDbModel_Ok",""
"passed","Fri Oct 18 21:45:51 GMT 2024","Fri Oct 18 21:45:51 GMT 2024","2","","","","MewingPad.Tests.UnitTests.BusinessLogic.Services.OAuthServiceUnitTest","MewingPad.Tests.UnitTests.BusinessLogic.Services.OAuthServiceUnitTest.RegisterUser_UserWithEmailExists_Error","MewingPad.Tests.UnitTests.BusinessLogic.Services.OAuthServiceUnitTest.RegisterUser_UserWithEmailExists_Error",""
"passed","Fri Oct 18 21:45:50 GMT 2024","Fri Oct 18 21:45:50 GMT 2024","0","","","","MewingPad.Tests.UnitTests.DataAccess.Converters.TestPlaylistConverter","MewingPad.Tests.UnitTests.DataAccess.Converters.TestPlaylistConverter.TestDbToCoreModelNull_Ok","MewingPad.Tests.UnitTests.DataAccess.Converters.TestPlaylistConverter.TestDbToCoreModelNull_Ok",""
"passed","Fri Oct 18 21:45:51 GMT 2024","Fri Oct 18 21:45:51 GMT 2024","7","","","","MewingPad.Tests.UnitTests.BusinessLogic.Services.PlaylistServiceUnitTest","MewingPad.Tests.UnitTests.BusinessLogic.Services.PlaylistServiceUnitTest.GetAllAudiotracksFromPlaylist_ReturnsFoundAudiotracks(expectedAudiotracks: [])","MewingPad.Tests.UnitTests.BusinessLogic.Services.PlaylistServiceUnitTest.GetAllAudiotracksFromPlaylist_ReturnsFoundAudiotracks(List<Audiotrack> expectedAudiotracks)",""
"passed","Fri Oct 18 21:45:50 GMT 2024","Fri Oct 18 21:45:51 GMT 2024","606","","","","MewingPad.Tests.UnitTests.BusinessLogic.Services.OAuthServiceUnitTest","MewingPad.Tests.UnitTests.BusinessLogic.Services.OAuthServiceUnitTest.SignInUser_WrongCredentials_Error","MewingPad.Tests.UnitTests.BusinessLogic.Services.OAuthServiceUnitTest.SignInUser_WrongCredentials_Error",""
"passed","Fri Oct 18 21:45:50 GMT 2024","Fri Oct 18 21:45:50 GMT 2024","62","","","","MewingPad.Tests.UnitTests.DataAccess.Repositories.TestAudiotrackRepository","MewingPad.Tests.UnitTests.DataAccess.Repositories.TestAudiotrackRepository.UpdateAudiotrack_UpdateExisting_Ok","MewingPad.Tests.UnitTests.DataAccess.Repositories.TestAudiotrackRepository.UpdateAudiotrack_UpdateExisting_Ok",""
"passed","Fri Oct 18 21:45:51 GMT 2024","Fri Oct 18 21:45:51 GMT 2024","4","","","","MewingPad.Tests.UnitTests.BusinessLogic.Services.ScoreServiceUnitTest","MewingPad.Tests.UnitTests.BusinessLogic.Services.ScoreServiceUnitTest.GetScoreByPrimaryKey_ScoreWithPkExists_ReturnsScore","MewingPad.Tests.UnitTests.BusinessLogic.Services.ScoreServiceUnitTest.GetScoreByPrimaryKey_ScoreWithPkExists_ReturnsScore",""
"passed","Fri Oct 18 21:45:51 GMT 2024","Fri Oct 18 21:45:51 GMT 2024","2","","","","MewingPad.Tests.UnitTests.BusinessLogic.Services.PlaylistServiceUnitTest","MewingPad.Tests.UnitTests.BusinessLogic.Services.PlaylistServiceUnitTest.GetUserFavouritesPlaylist_Error(returnedUser: User { Email = null, Id = 00000000-0000-0000-0000-000000000000, PasswordHashed = null, Role = Guest, Username = null }, returnedPlaylist: null, expectedExceptionType: typeof(MewingPad.Common.Exceptions.PlaylistNotFoundException))","MewingPad.Tests.UnitTests.BusinessLogic.Services.PlaylistServiceUnitTest.GetUserFavouritesPlaylist_Error(User returnedUser, Playlist returnedPlaylist, Type expectedExceptionType)",""
"passed","Fri Oct 18 21:45:50 GMT 2024","Fri Oct 18 21:45:50 GMT 2024","21","","","","MewingPad.Tests.UnitTests.DataAccess.Repositories.TestReportRepository","MewingPad.Tests.UnitTests.DataAccess.Repositories.TestReportRepository.AddReport_AddUnique_Ok","MewingPad.Tests.UnitTests.DataAccess.Repositories.TestReportRepository.AddReport_AddUnique_Ok",""
"passed","Fri Oct 18 21:45:51 GMT 2024","Fri Oct 18 21:45:51 GMT 2024","1","","","","MewingPad.Tests.UnitTests.BusinessLogic.Services.PlaylistServiceUnitTest","MewingPad.Tests.UnitTests.BusinessLogic.Services.PlaylistServiceUnitTest.GetUserPlaylists_PlaylistsExist_ReturnsPlaylists","MewingPad.Tests.UnitTests.BusinessLogic.Services.PlaylistServiceUnitTest.GetUserPlaylists_PlaylistsExist_ReturnsPlaylists",""
"passed","Fri Oct 18 21:45:50 GMT 2024","Fri Oct 18 21:45:50 GMT 2024","22","","","","MewingPad.Tests.UnitTests.DataAccess.Repositories.TestPlaylistRepository","MewingPad.Tests.UnitTests.DataAccess.Repositories.TestPlaylistRepository.DeletePlaylist_DeleteExisting_Ok","MewingPad.Tests.UnitTests.DataAccess.Repositories.TestPlaylistRepository.DeletePlaylist_DeleteExisting_Ok",""
"passed","Fri Oct 18 21:45:50 GMT 2024","Fri Oct 18 21:45:50 GMT 2024","4","","","","MewingPad.Tests.UnitTests.DataAccess.Repositories.TestPlaylistRepository","MewingPad.Tests.UnitTests.DataAccess.Repositories.TestPlaylistRepository.AddPlaylist_AddPlaylistWithSameId_Error","MewingPad.Tests.UnitTests.DataAccess.Repositories.TestPlaylistRepository.AddPlaylist_AddPlaylistWithSameId_Error",""
"passed","Fri Oct 18 21:45:50 GMT 2024","Fri Oct 18 21:45:50 GMT 2024","71","","","","MewingPad.Tests.UnitTests.DataAccess.Repositories.TestPlaylistRepository","MewingPad.Tests.UnitTests.DataAccess.Repositories.TestPlaylistRepository.GetUserFavouritesPlaylist_ReturnsFound(usersFavourites: [], playlists: [], expectedPlaylist: null)","MewingPad.Tests.UnitTests.DataAccess.Repositories.TestPlaylistRepository.GetUserFavouritesPlaylist_ReturnsFound(List<UserFavouriteDbModel> usersFavourites, List<PlaylistDbModel> playlists, Playlist expectedPlaylist)",""
"passed","Fri Oct 18 21:45:51 GMT 2024","Fri Oct 18 21:45:51 GMT 2024","2","","","","MewingPad.Tests.UnitTests.DataAccess.Repositories.TestTagAudiotrackRepository","MewingPad.Tests.UnitTests.DataAccess.Repositories.TestTagAudiotrackRepository.RemoveTagFromAudiotrack_NoTagNoAudiotrack_Error","MewingPad.Tests.UnitTests.DataAccess.Repositories.TestTagAudiotrackRepository.RemoveTagFromAudiotrack_NoTagNoAudiotrack_Error",""
"passed","Fri Oct 18 21:45:50 GMT 2024","Fri Oct 18 21:45:50 GMT 2024","4","","","","MewingPad.Tests.UnitTests.DataAccess.Repositories.TestScoreRepository","MewingPad.Tests.UnitTests.DataAccess.Repositories.TestScoreRepository.GetScoreByPrimaryKey_ReturnsFound(returnedScoreDbo: null, expectedScore: null)","MewingPad.Tests.UnitTests.DataAccess.Repositories.TestScoreRepository.GetScoreByPrimaryKey_ReturnsFound(ScoreDbModel returnedScoreDbo, Score expectedScore)",""
